# Wavelength (nm),Transmittance ITO (%),Transmittance CdS (%),Transmittance Si (%),Transmittance GaAs (%)
# 
3.000000000000000000e+02 9.800000000000000377e-02 8.400000000000000522e-02 -3.000000000000000062e-03 7.499999999999999722e-02
3.010000000000000000e+02 9.700000000000000289e-02 8.300000000000000433e-02 -4.000000000000000083e-03 7.799999999999999989e-02
3.020000000000000000e+02 1.019999999999999934e-01 8.799999999999999489e-02 -4.000000000000000083e-03 7.699999999999999900e-02
3.030000000000000000e+02 1.019999999999999934e-01 8.899999999999999578e-02 -1.000000000000000021e-03 8.200000000000000344e-02
3.040000000000000000e+02 1.039999999999999952e-01 8.799999999999999489e-02 2.000000000000000042e-03 7.699999999999999900e-02
3.050000000000000000e+02 9.299999999999999933e-02 8.599999999999999312e-02 3.000000000000000062e-03 8.200000000000000344e-02
3.060000000000000000e+02 9.299999999999999933e-02 8.400000000000000522e-02 1.000000000000000021e-03 7.900000000000000078e-02
3.070000000000000000e+02 9.299999999999999933e-02 8.699999999999999400e-02 -1.000000000000000021e-03 8.000000000000000167e-02
3.080000000000000000e+02 9.900000000000000466e-02 8.999999999999999667e-02 -2.000000000000000042e-03 7.699999999999999900e-02
3.090000000000000000e+02 1.000000000000000056e-01 8.899999999999999578e-02 -2.000000000000000042e-03 8.200000000000000344e-02
3.100000000000000000e+02 9.500000000000000111e-02 8.799999999999999489e-02 -1.000000000000000021e-03 7.699999999999999900e-02
3.110000000000000000e+02 1.010000000000000064e-01 8.400000000000000522e-02 0.000000000000000000e+00 7.299999999999999545e-02
3.120000000000000000e+02 1.049999999999999961e-01 8.500000000000000611e-02 0.000000000000000000e+00 6.800000000000000488e-02
3.130000000000000000e+02 1.140000000000000041e-01 8.599999999999999312e-02 0.000000000000000000e+00 7.399999999999999634e-02
3.140000000000000000e+02 1.150000000000000050e-01 8.999999999999999667e-02 0.000000000000000000e+00 7.900000000000000078e-02
3.150000000000000000e+02 1.179999999999999938e-01 9.299999999999999933e-02 0.000000000000000000e+00 8.000000000000000167e-02
3.160000000000000000e+02 1.209999999999999964e-01 9.099999999999999756e-02 0.000000000000000000e+00 7.900000000000000078e-02
3.170000000000000000e+02 1.229999999999999982e-01 9.199999999999999845e-02 0.000000000000000000e+00 7.799999999999999989e-02
3.180000000000000000e+02 1.310000000000000053e-01 8.899999999999999578e-02 1.000000000000000021e-03 7.599999999999999811e-02
3.190000000000000000e+02 1.479999999999999927e-01 9.500000000000000111e-02 0.000000000000000000e+00 7.099999999999999367e-02
3.200000000000000000e+02 1.600000000000000033e-01 9.199999999999999845e-02 0.000000000000000000e+00 7.599999999999999811e-02
3.210000000000000000e+02 1.759999999999999898e-01 9.400000000000000022e-02 -1.000000000000000021e-03 8.300000000000000433e-02
3.220000000000000000e+02 1.920000000000000040e-01 9.900000000000000466e-02 0.000000000000000000e+00 8.799999999999999489e-02
3.230000000000000000e+02 2.190000000000000002e-01 1.019999999999999934e-01 -2.000000000000000042e-03 8.100000000000000255e-02
3.240000000000000000e+02 2.449999999999999956e-01 1.010000000000000064e-01 0.000000000000000000e+00 7.499999999999999722e-02
3.250000000000000000e+02 2.740000000000000213e-01 8.999999999999999667e-02 0.000000000000000000e+00 7.399999999999999634e-02
3.260000000000000000e+02 3.059999999999999942e-01 8.899999999999999578e-02 1.000000000000000021e-03 7.499999999999999722e-02
3.270000000000000000e+02 3.439999999999999725e-01 8.699999999999999400e-02 -1.000000000000000021e-03 7.799999999999999989e-02
3.280000000000000000e+02 3.900000000000000133e-01 8.999999999999999667e-02 0.000000000000000000e+00 7.599999999999999811e-02
3.290000000000000000e+02 4.470000000000000084e-01 8.799999999999999489e-02 0.000000000000000000e+00 7.900000000000000078e-02
3.300000000000000000e+02 5.180000000000000160e-01 8.899999999999999578e-02 0.000000000000000000e+00 7.699999999999999900e-02
3.310000000000000000e+02 5.949999999999999734e-01 8.699999999999999400e-02 0.000000000000000000e+00 7.799999999999999989e-02
3.320000000000000000e+02 6.770000000000000462e-01 8.999999999999999667e-02 -1.000000000000000021e-03 7.399999999999999634e-02
3.330000000000000000e+02 7.710000000000000187e-01 8.999999999999999667e-02 0.000000000000000000e+00 7.499999999999999722e-02
3.340000000000000000e+02 8.719999999999999973e-01 9.099999999999999756e-02 0.000000000000000000e+00 7.599999999999999811e-02
3.350000000000000000e+02 9.839999999999999858e-01 8.999999999999999667e-02 0.000000000000000000e+00 7.699999999999999900e-02
3.360000000000000000e+02 1.116999999999999993e+00 9.299999999999999933e-02 0.000000000000000000e+00 7.599999999999999811e-02
3.370000000000000000e+02 1.270999999999999908e+00 9.199999999999999845e-02 0.000000000000000000e+00 7.199999999999999456e-02
3.380000000000000000e+02 1.449999999999999956e+00 9.400000000000000022e-02 -1.000000000000000021e-03 7.099999999999999367e-02
3.390000000000000000e+02 1.637000000000000011e+00 9.199999999999999845e-02 -1.000000000000000021e-03 7.299999999999999545e-02
3.400000000000000000e+02 1.840999999999999970e+00 9.700000000000000289e-02 0.000000000000000000e+00 7.799999999999999989e-02
3.410000000000000000e+02 2.043000000000000149e+00 9.700000000000000289e-02 1.000000000000000021e-03 7.799999999999999989e-02
3.420000000000000000e+02 2.266000000000000014e+00 9.600000000000000200e-02 2.000000000000000042e-03 7.699999999999999900e-02
3.430000000000000000e+02 2.512000000000000011e+00 9.199999999999999845e-02 1.000000000000000021e-03 7.900000000000000078e-02
3.440000000000000000e+02 2.791999999999999815e+00 9.099999999999999756e-02 1.000000000000000021e-03 7.699999999999999900e-02
